DisplayName , LogicalName , PrimaryIdAttribute , PrimaryNameAttribute
Solution Health Rule Argument , msdyn_solutionhealthruleargument , msdyn_solutionhealthruleargumentid , msdyn_name
Solution Health Rule Set , msdyn_solutionhealthruleset , msdyn_solutionhealthrulesetid , msdyn_name
Solution History , msdyn_solutionhistory , msdyn_solutionhistoryid , msdyn_name
Solution History Data Source , msdyn_solutionhistorydatasource , msdyn_solutionhistorydatasourceid , msdyn_name
Audio File , msdyn_soundfile , msdyn_soundfileid , msdyn_name
Sound notification setting , msdyn_soundnotificationsetting , msdyn_soundnotificationsettingid , msdyn_name
Submodel Definition , msdyn_submodeldefinition , msdyn_submodeldefinitionid , msdyn_name
Suggested Activity , msdyn_suggestedactivity , msdyn_suggestedactivityid , msdyn_subject
Suggested Activity Data Source , msdyn_suggestedactivitydatasource , msdyn_suggestedactivitydatasourceid , msdyn_name
Suggested Contact , msdyn_suggestedcontact , msdyn_suggestedcontactid , msdyn_fullname
Suggested Contacts Data Source , msdyn_suggestedcontactsdatasource , msdyn_suggestedcontactsdatasourceid , msdyn_name
Suggestion Assignment Rule , msdyn_suggestionassignmentrule , msdyn_suggestionassignmentruleid , msdyn_name
Suggestion Interaction , msdyn_suggestioninteraction , msdyn_suggestioninteractionid , msdyn_interactiontype
Suggestion Principal Object Access , msdyn_suggestionprincipalobjectaccess , msdyn_suggestionprincipalobjectaccessid , msdyn_name
Suggestion request payload , msdyn_suggestionrequestpayload , msdyn_suggestionrequestpayloadid , msdyn_suggestedentitylogicalname
Suggestion Seller Priority , msdyn_suggestionsellerpriority , msdyn_suggestionsellerpriorityid , msdyn_name
Suggestions Model Summary , msdyn_suggestionsmodelsummary , msdyn_suggestionsmodelsummaryid , msdyn_name
Suggestions Setting , msdyn_suggestionssetting , msdyn_suggestionssettingid , msdyn_name
Swarm , msdyn_swarm , msdyn_swarmid , msdyn_name
Swarm participant , msdyn_swarmparticipant , msdyn_swarmparticipantid , msdyn_name
Swarm participant rule , msdyn_swarmparticipantrule , msdyn_swarmparticipantruleid , msdyn_name
